ID	German_Source	DeepL_Output	GlossWerk_Output	Human_Reference	Changed	Preferred (DeepL/GlossWerk/Equal)	GW_Used_Correct_Term (Yes/No/NA)	Edits_Needed_DeepL (0-5)	Edits_Needed_GlossWerk (0-5)	DE_Term (if terminology issue)	Wrong_MT_Term	Correct_EN_Term	Notes
100	Wenn kein Fremdmagnetfeld am Hallsensor vorhanden ist, so entspricht das erste Messsignal dem dritten Messsignal.	If there is no external magnetic field at the Hall sensor, the first measurement signal corresponds to the third measurement signal.	If no external magnetic field is present at the Hall sensor, the first measurement signal corresponds to the third measurement signal.	If there is no external magnetic field on the Hall sensor, then the first measurement signal corresponds to the third measurement signal.	Yes								
101	Dabei sind insbesondere der ringförmige Innenteil 33 sowie die vertikalen Streben 37 ersichtlich.	In particular, the ring-shaped inner part 33 and the vertical struts 37 can be seen.	In particular, the annular inner part 33 and the vertical struts 37 can be seen.	In this view, the annular inner portion 33 and the vertical struts 37 of the frame 5 are clearly visible.	Yes								
102	Die Funktion des Verbindungssystems 30 ergibt sich aus dem Umstand, dass, wenn der Tiegel 4 mit einer Siliziumschmelze gefüllt ist, eine Gasströmung zwischen dem oberen Druckbereich 1 und dem unteren Druckbereich 2 nicht mehr über den Austritt 10 des Tiegels 4 möglich ist.	The function of the connection system 30 results from the fact that, when the crucible 4 is filled with a silicon melt, a gas flow between the upper pressure area 1 and the lower pressure area 2 is no longer possible via the outlet 10 of the crucible 4.	The function of the connection system 30 results from the fact that, when the crucible 4 is filled with a silicon melt, a gas flow between the upper pressure region 1 and the lower pressure region 2 via the outlet 10 of the crucible 4 is no longer possible.	The function of the connecting system 30 derives from the fact that, when the crucible 4 is filled with a silicon melt, a gas flow between the upper pressure region 1 and the lower pressure region 2 is no longer possible via the outlet 10 of the crucible 4 .	Yes								
103	Da sich somit vergleichsweise lange Federlängen realisieren lassen, ist die Einstellung des Öffnungsverhaltens des Auslassventils so besonders gut und präzise möglich.	As this allows comparatively long spring lengths to be achieved, the opening behavior of the exhaust valve can be adjusted particularly well and precisely.	Since comparatively long spring lengths can thereby be achieved, the opening behavior of the exhaust gas valve can be adjusted particularly well and precisely.	Since comparatively long spring lengths can be realized thereby, adjustment of the opening performance of the outlet valve is feasible in a particularly convenient and precise manner.	Yes								
104	Der Rotor dieses als Synchronmotor ausgestalteten Beispiels ist das Außenrad 30, das z.B. als Permanentmagnet ausgeführt sein kann.	The rotor of this example, which is designed as a synchronous motor, is the outer wheel 30, which can be designed as a permanent magnet, for example.	The rotor of this exemplary embodiment, which is designed as a synchronous motor, is the outer wheel 30, which can be designed, for example, as a permanent magnet.	The rotor of this embodiment, which is adapted to be a synchronous motor, is the outer wheel 30, which may for example be provided as a permanent magnet.	Yes								
105	3 schematisch zwei nicht überlappende Segmente 33, 34 dargestellt sind, kann die Einjustierung der Relativ-Fördergeschwindigkeit vorteilhaft auch erfolgen, wenn die Segmente miteinander überlappen.	3, two non-overlapping segments 33, 34 are shown schematically, the relative conveying speed can also be adjusted advantageously if the segments overlap with each other.	3, two non-overlapping segments 33, 34 are shown schematically, the relative conveying speed can also be advantageously adjusted if the segments overlap one another.	3 two segments 33, 34 which do not overlap are schematically represented, the adjustment of the relative conveying speed can advantageously also take place when the segments overlap one another.	Yes								
106	Ist die Türfensterscheibe geschlossen, dann kann die Fondfensterscheibe sowohl zwischen den Endpositionen Fondfensterscheibe offen 32 und Fondfensterscheibe geschlossen 31 sein.	If the door window pane is closed, the rear window pane can be between the end positions rear window pane open 32 and rear window pane closed 31.	If the door window pane is closed, the rear window pane 32 can be open between the end positions and the rear window pane 31 can be closed.	When the door window pane is closed, the rear window pane may be between the end positions—rear window pane open 32 —and—rear window pane closed 31 .	Yes								
107	Das Not-Strom-Programm kann sich der vorhandenen Restkapazität der Akkumulatoreinheit anpassen, so dass möglichst eine vollständige Öffnung des Tores erreicht wird.	The emergency power program can adapt to the available residual capacity of the accumulator unit so that the door is opened as fully as possible.	The emergency power program can adapt itself to the available residual capacity of the rechargeable battery unit, so that the door is opened as completely as possible.	The emergency power program can be adapted to the existing residual capacity of the accumulator unit, so that preferably complete opening of the gate is achieved.	Yes								
108	Ferner ist keine Rotation des Schafts notwendig, um alle Blickrichtungen zu realisieren.	Furthermore, no rotation of the shaft is necessary to realize all viewing directions.	Furthermore, no rotation of the shaft is necessary in order to realize all viewing directions.	In addition no rotation of the shaft is necessary in order to achieve all viewing angles.	Yes								
109	Die Temperatur des Produktes nach Kühlung soll etwa 0 bis 10, insbesondere 1 bis etwa 5°C betragen. Das Produkt wird vorzugsweise in einen Lagerbehälter überführt, der eine Pufferfunktion aufweist.	The temperature of the product after cooling should be around 0 to 10°C, in particular 1 to around 5°C. The product is preferably transferred to a storage container that has a buffer function.	The temperature of the product after cooling should be from about 0 to 10° C., in particular from 1 to about 5° C. The product is preferably transferred into a storage container which has a buffer function.	The temperature of the product after cooling should be about 0 to 10° C., in particular 1 to about 5° C. The product is preferably transferred into a storage vessel which has a buffer function.	Yes								
110	Synthese und Reinigung von DNA-Fragmenten, die für Glu-52-und Val-15-Glu-52-Aprotinin kodieren	Synthesis and purification of DNA fragments coding for Glu-52 and Val-15-Glu-52 aprotinin	Synthesis and Purification of DNA Fragments Encoding Glu-52 and Val-15-Glu-52 Aprotinin	Synthesis and Purification of DNA fragments coding for Glu-52- and Val 15-Glu-52-aprotinin	Yes								
111	"Im Rahmen der vorliegenden Erfindung werden die linearen oder verzweigten, gesättigten Alkanoylgruppen R 1 aus Formel (I) und die linearen oder verzweigten, ein- oder mehrfach ungesättigten Alkenoylgruppen R 1 aus Formel (I) zusammen auch als ""Acylgruppen"" bezeichnet."	"In the context of the present invention, the linear or branched, saturated alkanoyl groups R 1 of formula (I) and the linear or branched, mono- or polyunsaturated alkenoyl groups R 1 of formula (I) are together also referred to as ""acyl groups""."	In the context of the present invention, the linear or branched, saturated alkanoyl groups R 1 of the formula (I) and the linear or branched, mono- or polyunsaturated alkenoyl groups R 1 of the formula (I) are also referred to together as “acyl groups”.	In the context of the present invention, the linear or branched, saturated alkanoyl groups R 1 from formula (I) and the linear or branched, mono- or polyunsaturated alkenoyl groups R 1 from formula (I) are also referred to collectively as “acyl groups”.	Yes								
112	Gegebenenfalls können noch 0.05 bis 10.0 Gew%, bezogen auf das Gesamtgewicht der Monomeren, Hilfsmonomere aus der Gruppe umfassend ethylenisch ungesättigte Mono- und Dicarbonsäuren und deren Amide, wie Acrylsäure, Methacrylsäure, Maleinsäure, Fumarsäure, Itaconsäure, Acrylamid, Methacrylamid; ethylenisch ungesättigte Sulfonsäuren bzw. deren Salze, vorzugsweise Vinylsulfonsäure, 2-Acrylamido-propansulfonat und N-Vinylpyrrolidon copolymerisiert werden.	If necessary, 0.05 to 10.0% by weight, based on the total weight of the monomers, of auxiliary monomers from the group comprising ethylenically unsaturated mono- and dicarboxylic acids and their amides, such as acrylic acid, methacrylic acid, maleic acid, fumaric acid, itaconic acid, acrylamide, methacrylamide; ethylenically unsaturated sulfonic acids or their salts, preferably vinyl sulfonic acid, 2-acrylamido propanesulfonate and N-vinyl pyrrolidone, can be copolymerized. their salts, preferably vinyl sulfonic acid, 2-acrylamidopropanesulfonate and N-vinylpyrrolidone are copolymerized.	optionally from 0.05 to 10.0% by weight, based on the total weight of the monomers, of auxiliary monomers from the group comprising ethylenically unsaturated monocarboxylic and dicarboxylic acids and their amides, such as acrylic acid, methacrylic acid, maleic acid, fumaric acid, itaconic acid, acrylamide, methacrylamide; ethylenically unsaturated sulfonic acids or their salts, preferably vinyl sulfonic acid, 2-acrylamidopropanesulfonate and N-vinylpyrrolidone, are copolymerized.	Optionally, the polymer may further contain 0.05 to 10.0% by weight, based on the total weight of the monomers, of comonomers selected from the group consisting of ethylenically unsaturated mono- and dicarboxylic acids and their amides, such as acrylic acid, methacrylic acid, maleic acid, fumaric acid, itaconic acid, acrylamide, methacrylamide; ethylenically unsaturated sulfonic acids and their salts, preferably vinylsulfonic acid, 2-acrylamidopropanesulfonate and N-vinylpyrrolidone.	Yes								
113	In einer Variante der Erfindung können statt der Markierungen des beschriebenen Geberrads an einer Kurbelwelle oder einer Nockenwelle als Markierungen auch Signale eines Gebermoduls, die von Sensoren erfasst und an einem Elektromotor (PMSM) angeordnet sind, verarbeitet werden, wobei typischerweise drei Sensoren vorgesehen sind, die einen elektrischen Zyklus in sechs Bereiche unterteilen.	In a variant of the invention, instead of the markings of the described encoder wheel on a crankshaft or a camshaft as markings, signals from an encoder module, which are detected by sensors and arranged on an electric motor (PMSM), can also be processed, whereby typically three sensors are provided, which divide an electrical cycle into six areas.	In a variant of the invention, instead of the markings of the described encoder wheel on a crankshaft or a camshaft as markings, signals can also be processed by an encoder module, which are detected by sensors and are arranged on an electric motor (PMSM), typically three sensors being provided, which divide an electric cycle into six regions.	In one exemplary variant of the present invention, instead of the markings of the described sensor wheel on a crankshaft or a camshaft, signals of a sensor module which are detected by sensors situated on an electric motor (PMSM) are processed as markings, typically three sensors being provided which subdivide an electrical cycle into six areas.	Yes								
114	Die ersten und zweiten Lagerelemente von erster und zweiter Verschlußleiste sind jeweils von erster und zweiter Gelenkkappenhälfte 60 und 70 unter Ausbildung der Gelenkkappe 56 umgeben.	The first and second bearing elements of the first and second closure strip are each surrounded by first and second joint cap halves 60 and 70, forming the joint cap 56.	The first and second bearing elements of the first and second closure strip are each surrounded by first and second joint cap halves 60 and 70, which form the joint cap 56 .	The first and second bearing elements of the first and second sealing strip are each enclosed by the first and second joint cover halves 60 and 70, forming the joint cover 56 .	Yes								
115	Figur 9: eine Draufsicht auf die Abbildung gemäß Figur 8;	Figure 9: a top view of the image shown in Figure 8;	FIG. 9: a plan view of the image shown in FIG. 8;	FIG. 9: shows a plan view of the illustration shown in FIG. 8;	Yes								
116	Eine Ausgestaltung der Erfindung sieht vor, dass zwischen dem Steuerring und dem Sperrring mindestens ein Federelement angeordnet ist.	One embodiment of the invention provides for at least one spring element to be arranged between the control ring and the locking ring.	One embodiment of the invention provides that at least one spring element is arranged between the actuating ring and the locking ring.	One embodiment of the invention provides that at least one spring element is arranged between the control ring and the locking ring.	Yes								
117	Eine an sich bekannte Möglichkeit darin, eine Elektrodenleitung für den linken Ventrikel über die Vena Cava Superior und das rechte Atrium in den Coronar Sinus einzuführen und Elektroden im Coronar Sinus oder einer davon abzweigenden Lateralvene zu platzieren.	One known option is to insert an electrode lead for the left ventricle via the superior vena cava and the right atrium into the coronary sinus and place electrodes in the coronary sinus or a lateral vein branching off from it.	One known option is to insert an electrode projection for the left ventricle via the superior vena cava and the right atrium into the coronary sinus and to place electrodes in the coronary sinus or a lateral vein branching off therefrom.	One known option is to insert an electrode lead for the left ventricle through the vena cava superior and the right atrium into the coronary sinus and to place electrodes in the coronary sinus or in a lateral vein branching off it.	Yes								
118	Dies ist beispielsweise dann der Fall, wenn das Schiebedach und die Fenster gleichzeitig in ihre Schließstellung verfahren werden und eine Einklemmgefahr für eine Person im oder am Kraftfahrzeug besteht.	This is the case, for example, if the sunroof and the windows are moved to their closed position at the same time and there is a risk of a person becoming trapped in or on the vehicle.	This is the case, for example, if the sunroof and the windows are simultaneously moved into their closed position and there is a risk of a person becoming caught in or on the vehicle.	This is the case, for example, when the sliding roof and the windows are displaced simultaneously into their closing position and a jamming danger for a person in or at the motor vehicle exists.	Yes								
119	Fig. 5 eine Variante zu Fig. 4 und	Fig. 5 a variant of Fig. 4 and	FIG. 5 shows a variant of FIG. 4, and	FIG. 5, a variant of FIG. 4; and	Yes								
120	Mit der Bezugsziffer 50 ist eine Druckermittlungseinrichtung bezeichnet, die beispielsweise als ein Drucksensor ausgebildet sein kann.	The reference number 50 designates a pressure detection device, which can be designed as a pressure sensor, for example.	Reference numeral 50 designates a pressure detection device, which can be designed, for example, as a pressure sensor.	The reference number 50 designates a pressure ascertaining device which, for example, can be formed as a pressure sensor.	Yes								
121	Die Erfindung betrifft säurefreie Katalysatorpasten, das Verfahren zu deren Herstellung sowie deren Verwendung bei Verfahren zur kathodischen Elektrotauchlackierung (KTL).	The invention relates to acid-free catalyst pastes, the process for their production and their use in cathodic electrocoating processes.	The invention relates to acid-free catalyst pastes, to the process for their preparation and to their use in cathodic electrocoating processes.	This invention relates to acid-free catalyst pastes, to a process for producing them and to their use in processes for cathodic electro-dip coating (CEC).	Yes								
122	Die die Einlauföffnung abdeckende Schürze 13 legt sich dabei auf die Sackoberfläche, so daß die Öffnung jeweils begrenzt bleibt.	The apron 13 covering the inlet opening lies on the surface of the bag so that the opening remains limited.	The apron 13 covering the inlet opening rests on the surface of the bag so that the opening remains delimited.	The apron 13 which covers the inlet opening, comes to lie thereby on the bag surface, so that the opening remains delimited in each case.	Yes								
123	modifizierte Polypropylene durch Behandlung von Polypropylenen mit mehrfunktionell ethylenisch ungesättigten Monomeren in Gegenwart von Peroxiden in der Schmelze (EP 688817; EP 450342).	modified polypropylenes by treating polypropylenes with polyfunctionally ethylenically unsaturated monomers in the presence of peroxides in the melt (EP 688817; EP 450342).	modified polypropylenes by treating polypropylenes with polyfunctional ethylenically unsaturated monomers in the presence of peroxides in the melt (EP 688817; EP 450342).	polypropylenes modified by the treatment of polypropylenes with multi-fnctional, ethylenically unsaturated monomers in the presence of peroxides in the melt (European patents 688817 and 450342).	Yes								
124	Durch den ausgelösten Vorschub wird jedoch die Förderkette 11 noch um eine weitere halbe Umdrehung des Zahnrades 12 bzw. 13 weiter voranbewegt, so daß nach Abschluß der Vorschubbewegung die Greiferstange 18 mit der Oberfläche der nächsten Zeitung in Berührung kommt.	However, the triggered feed causes the conveyor chain 11 to move forward by a further half turn of the sprocket 12 or 13, so that the gripper bar 18 comes into contact with the surface of the next newspaper after the feed movement has been completed.	However, the triggered advance causes the conveyor chain 11 to move forward by a further half-turn of the chain wheel 12 or 13, so that the gripper bar 18 comes into contact with the surface of the next newspaper after the advance movement has ended.	However, by the advancing initiated the conveyor chain 11 is moved a further half revolution of the gear 12 or 13 so that after conclusion of the feed movement the gripper rod 18 comes into contact with the surface of the next newspaper.	Yes								
125	8 zeigt die einfachste Variante gemäß der Erfindung, in welcher die chemischen Komponenten K1 bis Kn (51) über vom Messsystem (6) geregelte, kalibrierte Dosierpumpen (53) gemäß dem jeweiligen Soll-Wert der Einzelkomponente über ein Ventil (54) zudosiert werden.	8 shows the simplest variant according to the invention, in which the chemical components K1 to Kn (51) are dosed via a valve (54) using calibrated dosing pumps (53) controlled by the measuring system (6) according to the respective target value of the individual component.	8 shows the simplest variant according to the invention, in which the chemical components K 1 to Kn (51) are metered via a valve (54) using calibrated metering pumps (53) controlled by the measuring system (6) in accordance with the respective desired value of the individual component.	8 shows the simplest variant in accordance with the invention, wherein the chemical components K 1 through Kn (51) are added via a valve (54) using calibrated dosing pumps (53) regulated by the measuring system (6) in accordance with the respective desired value of the individual components.	Yes								
126	Die Herstellung erfolgte gemäß der allgemeinen Synthesevorschrift 4 aus 7-Methoxy-2-naphthol und 1-(2-Methoxy-benzyliden)-piperidinium-chlorid, welches gemäß Beispiel 32 hergestellt worden ist.	The preparation was carried out according to the general synthesis instruction 4 from 7-methoxy-2-naphthol and 1-(2-methoxy-benzylidene)-piperidinium chloride, which was prepared according to example 32.	The preparation was carried out according to General Synthesis Instruction 4 from 7-methoxy-2-naphthol and 1-(2-methoxy-benzylidene)-piperidinium chloride, which was prepared according to Example 32.	The preparation was carried out in accordance with general synthesis instructions 4 from 7-methoxy-2-naphthol and 1-(2-methoxy-benzylidene)-piperidinium chloride, which had been prepared in accordance with example 32.	Yes								
127	Substituierte Pyrrolo-pyridine der allgemeinen Formel (I) in welcher R¹ für geradkettiges oder verzweigtes Alkyl mit bis zu 8 Kohlenstoffatomen steht, - für Cycloalkyl mit 3 bis 6 Kohlenstoffatomen steht,	Substituted pyrrolo-pyridines of the general formula (I) in which R¹ stands for straight-chain or branched alkyl with up to 8 carbon atoms, - stands for cycloalkyl with 3 to 6 carbon atoms,	substituted pyrrolopyridines of the general formula (I) in which R1 is straight-chain or branched alkyl having up to 8 carbon atoms,  is cycloalkyl having 3 to 6 carbon atoms,	A substituted pyrrolo-pyridine of the formula ##STR58## in which R1 represents straight-chain or branched alkyl having up to 8 carbon atoms, or represents cycloalkyl having 3 to 6 carbon atoms,	Yes								
128	In Figur 2 ist der Monolith 8 gegenüber dem Gehäuse 5 senkrecht verdreht, was an den beiden um 90° zueinander verlaufenden Längsachsen 7 erkennbar ist.	In Figure 2, the monolith 8 is rotated vertically in relation to the housing 5, which can be recognized by the two longitudinal axes 7 running at 90° to each other.	In FIG. 2, the monolith 8 is rotated perpendicularly with respect to the housing 5, which can be seen from the two longitudinal axes 7 running at 90° to one another.	In FIG. 2, the monolith 8 is perpendicularly turned relative to the housing 5 which is evident by the two longitudinal axes 7 running at 90° to one another.	Yes								
129	4 zeigt die Ausführungsform eines linsenförmigen Lautsprecherkörpers (405), der parallel oder quasi-parallel zum Gehörgang geführt wird, den Gehörgang demnach nur teilweise abschließt und somit offen lässt.	4 shows the embodiment of a lens-shaped loudspeaker body (405), which is guided parallel or quasi-parallel to the auditory canal, thus only partially closing off the auditory canal and leaving it open.	4 shows the embodiment of a lens-shaped loudspeaker body (405), which is guided parallel or quasi-parallel to the auditory canal, whereby the auditory canal is only partially closed and left open.	4 shows the embodiment of a lenticular loudspeaker body (405) that is guided parallel or nearly parallel to the auditory passage and accordingly closes off the auditory passage only partially and thus leaves it open.	Yes								
130	Mit Alkyl sind insbesondere Reste mit 1 bis 4 Kohlenstoffatomen gemeint, mit Aryl insbesondere Reste wie Phenyl-, Toluyl-, Chlorphenyl-, Methoxyphenyl- oder Naphthylreste und mit Aralkyl insbesondere der Benzylrest.	Alkyl refers in particular to radicals with 1 to 4 carbon atoms, aryl refers in particular to radicals such as phenyl, toluyl, chlorophenyl, methoxyphenyl or naphthyl radicals and aralkyl refers in particular to the benzyl radical.	Alkyl denotes in particular radicals having 1 to 4 carbon atoms, aryl denotes in particular radicals such as phenyl, toluyl, chlorophenyl, methoxyphenyl or naphthyl radicals, and aralkyl denotes in particular the benzyl radical.	Alkyl denotes in particular radicals containing 1 to 4 carbon atoms and aryl denotes in particular radicals such as phenyl, toluyl, chlorophenyl, methoxyphenyl or naphthyl radicals; and aralkyl is preferably the benzyl radical.	Yes								
131	Alternativ kann die an der Sitzoberseite wirkende Beschleunigung aus der an der Sitzunterseite wirkenden Beschleunigung und der Veränderung der Auslenkung der Federn und des Dämpfers bestimmt werden.	Alternatively, the acceleration acting on the top of the seat can be determined from the acceleration acting on the bottom of the seat and the change in the deflection of the springs and the damper.	Alternatively, the acceleration acting on the upper side of the seat can be determined from the acceleration acting on the lower side of the seat and the change in the deflection of the springs and the damper.	As an alternative, the acceleration acting upon the top side of the seat can be determined from the acceleration acting upon the underside of the seat and from the change of the deflection of the springs and of the damper.	Yes								
132	Die Erfindung betrifft ein Verfahren zum rechnergestützten Lernen einer Steuerung und/oder Regelung eines technischen Systems sowie ein entsprechendes Verfahren zum Betrieb eines technischen Systems und ein Computerprogrammprodukt.	The invention relates to a method for computer-aided learning of a control and/or regulation of a technical system and a corresponding method for operating a technical system and a computer program product.	The invention relates to a method for computer-aided learning of a control and/or regulation of a technical system and a corresponding method for operating a technical system and a computer program product.	The invention relates to a method for the computer-aided learning of a control and/or adjustment of a technical system as well as to a corresponding method for operating a technical system and a computer program product.	No								
133	Wie anhand der Figur 13 zu erkennen ist, ist dieses ringförmige Druckimpulserzeugungselement 102 am Ende eines in ein rohrartiges Element 18 eingesetzten Einsatzrohres 34 vorgesehen, durch das ein linker Abschnitt kleineren Durchmessers und ein rechter Abschnitt größeren Durchmessers gebildet wird, wobei das ringförmige Druckimpulserzeugungselement 102 im Bereich des kreisförmig gekrümmten Übergangs 116 vorgesehen ist.	As can be seen from Figure 13, this annular pressure pulse generating member 102 is provided at the end of an insert tube 34 inserted into a tube-like member 18, through which a left portion of smaller diameter and a right portion of larger diameter are formed, wherein the annular pressure pulse generating member 102 is provided in the region of the circularly curved transition 116.	As can be seen from FIG. 13, this annular pressure pulse generating member 102 is provided at the end of an insertion tube 34 which is inserted into a tubular member 18 and through which a left-hand portion of smaller diameter and a right-hand portion of larger diameter are formed, wherein the annular pressure pulse generating member 102 is provided in the region of the circularly curved transition 116 .	As can be seen in FIG. 13, this annular pressure impulse generating element 102 is provided at the end of an insert tube 34 inserted into a tubular element 18, by means of which a left section with a smaller diameter and a right section with a larger diameter are formed, with the annular pressure impulse generating element 102 being provided in the vicinity of the circularly curved transition 116 .	Yes								
134	Bei Papieren minderwertigerer Qualität, also mit einem Flächengewicht von weniger als 80 g/m² beträgt der Querschnitt der Rillen eines mit Drahtumwicklung versehenen Rollrakelstabes maximal etwa 0,006 mm², um eine Auftragsschicht von 3 g/m² mittels der ersten Beschichtungseinrichtung aufzutragen.	For papers of inferior quality, i.e. with a basis weight of less than 80 g/m², the cross-section of the grooves of a wire-wrapped doctor blade bar is a maximum of about 0.006 mm² in order to apply a coating layer of 3 g/m² using the first coating device.	For papers of inferior quality, i.e. papers having a base weight of less than 80 g/m 2, the cross-section of the grooves of a wire-wound doctor blade bar is at most approximately 0.006 mm 2 in order to apply a coating layer of 3 g/m 2 using the first coating device.	In the case of papers of lesser quality, i.e., with a basis weight of less than 80 g/m2, the cross-section of the grooves of a wire-wound roll type blade is maximally about 0.006 mm2 for applying a coating layer of 3 g/m2 by means of the first coating device.	Yes								
135	Dadurch wird erreicht, dass die befeuchtete Papierbahn 12 beim Herausziehen nicht reißt.	This ensures that the moistened paper web 12 does not tear when it is pulled out.	This ensures that the moistened paper web 12 does not tear when it is pulled out.	This achieves the situation that the moistened paper web 12 does not tear when it is drawn out.	No								
136	Neben dem Anschluß der externen Antenne dient das elektrische Verbindungselement 77 auch dem Anschluß von NF-Signalen und der Stromversorgung.	In addition to connecting the external antenna, the electrical connection element 77 is also used to connect AF signals and the power supply.	In addition to the connection of the external antenna, the electrical connection element 77 also serves to connect AF signals and the power supply.	In addition to connection of the external antenna, the electrical connecting element 77 is also used for the connection of AF signals and for the power supply.	Yes								
137	eine Explosionsansicht der Bauelemente der Schleiftellereinheit gemäß Fig. 1,	an exploded view of the components of the sliding table unit as shown in Fig. 1,	FIG. 2 shows an exploded view of the components of the sliding table unit according to FIG. 1,	FIG. 5 An exploded view of the parts of the backing plate unit according to FIG. 1;	Yes								
138	Fig. 5 zeigt eine detaillierte Darstellung der Arretierungseinrichtung 23 mit dem von der Feder 25 in Arretierstellung beaufschlagten Arretierbolzen 24, der durch eine Ausnehmung in der Wandung des Kastenbodens 6 sowie in der Wandung des Kastenbodenlenkers 17 geführt ist und dadurch eine Relativbewegung zwischen diesen Bauteilen blockiert.	Fig. 5 shows a detailed representation of the locking device 23 with the locking bolt 24, which is acted upon by the spring 25 in the locking position and is guided through a recess in the wall of the box base 6 and in the wall of the box base link 17, thereby blocking relative movement between these components.	FIG. 5 shows a detailed representation of the locking device 23 with the locking bolt 24, which is actuated by the spring 25 in the locking position and is guided through a recess in the wall of the box base 6 and in the wall of the box base member 17, whereby a relative movement between these components is blocked.	FIG. 5 shows the locking structure 23 in detail, including the locking bolt 24 biased by the spring 25 into its locking position. The locking bolt 24 extends through an opening in the wall of the containment bottom 6 and an opening in the wall of the containment bottom operating arm 17 so as to prevent any relative movement between these components.	Yes								
139	Polyhydroxylverbindungen mit Molekulargewichten von 500 bis 8000 und	Polyhydroxyl compounds with molecular weights of 500 to 8000 and	polyhydroxyl compounds having molecular weights of 500 to 8000 and	polyhydroxyl compounds with molecular weights of 500-8,000, and	Yes								
140	Weiterhin wird in diesem Schritt überprüft, ob der Minimalwert der geschilderten Referenzwerten des aktuellen aufgenommenen Sample um nicht mehr als einen vorgegebenen Betrag von dem Minimalwert der geschilderten Referenzwerten des zuletzt gespeicherten Sample abweicht.	This step also checks whether the minimum value of the described reference values of the current recorded sample does not deviate by more than a specified amount from the minimum value of the described reference values of the last stored sample.	In this step, it is also checked whether the minimum value of the described reference values of the current detected sample does not deviate by more than a predetermined amount from the minimum value of the described reference values of the last stored sample.	Furthermore, a check is made in this step whether the minimum value of the described reference values of the current recorded sample deviates by no more than a pregiven amount from the minimum value of the described reference values of the last stored sample.	Yes								
141	Die Blasstationen werden über eine Temperiereinrichtung mit Betriebsmedium versorgt.	The blowing stations are supplied with operating medium via a temperature control unit.	The blowing stations are supplied with operating medium via a temperature control unit.	The blow-molding stations are supplied with an operating medium by means of a tempering device.	No								
142	Y, Y 1 unabhängig voneinander H, -CH 2 -COOH und Salze, ein Kohlenwasserstoffrest mit mindestens 2 Hydroxylgruppen, wie Erythrose, Threose, Ribose, Arabinose, Xylose, Fructose, Lyxose, Allose, Altrose, Glucose, Mannose, Galactose und ihre Mischungen.	Y, Y 1 independently of one another H, -CH 2 -COOH and salts, a hydrocarbon radical having at least 2 hydroxyl groups, such as erythrose, threose, ribose, arabinose, xylose, fructose, lyxose, allose, altrose, glucose, mannose, galactose and mixtures thereof.	Y, Y 1 independently of one another are H, —CH 2 —COOH and salts of a hydrocarbon radical having at least 2 hydroxyl groups, such as erythrose, threose, ribose, arabinose, xylose, fructose, lyxose, allose, altrose, glucose, mannose, galactose and mixtures thereof.	Y, Y 1 are independently H, —CH 2 —COOH and salts, a hydrocarbon radical having at least two hydroxyl groups, such as erythrose, threose, ribose, arabinose, xylose, fructose, lyxose, allose, altrose, glucose, mannose, galactose and mixtures thereof.	Yes								
143	+V positiver Versatz gegenüber Gerüstebene	+V positive offset to scaffolding level	+V positive offset to the scaffolding plane	+V positive offset relative to stand plane	Yes								
144	Die Stege 25 definieren stern- oder speichenförmige Bereiche und belassen die Kontaktfläche 21 des Kontaktkörpers 20 unverändert.	The webs 25 define star-shaped or spoke-shaped areas and leave the contact surface 21 of the contact body 20 unchanged.	The webs 25 define star-shaped or spoke-shaped regions and leave the contact surface 21 of the contact body 20 unchanged.	The webs 25 define star or spoke-shaped areas and leave the contact surface 21 of the contact body 20 unaltered.	Yes								
145	Kraftmessgerät auf der Antriebsseite	Force gauge on the drive side	Force gauge on the drive side	force-measuring sensor on the drive side	No								
146	4 eine schematische Darstellung eines Pumpelementgehäuses 14b, in dem ein bewegliches Element 24b angeordnet ist.	4 is a schematic representation of a pump element housing 14b in which a movable element 24b is arranged.	4 is a schematic representation of a pump element housing 14 b in which a movable element 24 b is arranged.	4 shows a schematic representation of a pump element housing 14 b wherein a movable element 24 b is disposed.	Yes								
147	Die insgesamt acht Gasöffnungen 23 (2 mal 1 für beide Schmalseiten plus 2 mal 3 für die beiden Längsseiten) werden über eine Ringgasleitung 24 gespeist, die wiederum mit einem am Strahlersockel 21 angeordneten Gasanschlussstutzen 25 verbunden ist.	The total of eight gas openings 23 (2 x 1 for both narrow sides plus 2 x 3 for the two long sides) are fed via a ring gas line 24, which in turn is connected to a gas connection piece 25 arranged on the emitter base 21.	The total of eight gas openings 23 (21 for both narrow sides plus 23 for the two long sides) are supplied via an annular gas line 24, which in turn is connected to a gas connection piece 25 arranged on the emitter base 21 .	The in particular eight gas openings 23 (2 times 1 for both narrow sides plus 2 times 3 for the two long sides) are fed via a ring gas line 24, which is in turn connected to a gas connection connecting pipe 25 arranged on the emitter base 21 .	Yes								
148	Zum heutigen Zeitpunkt geht man davon aus, dass die Anwendungshelligkeiten im Bereich von 500 bis 10,000 cd/m 2 liegen werden.	At present, it is assumed that application brightness levels will be in the range of 500 to 10,000 cd/m 2 .	At present, it is assumed that the application brightness levels will be in the range from 500 to 10,000 cd/m 2 .	To date, it is assumed that the application light intensities will be in the range of from 500 to 10,000 cd/m2.	Yes								
